time_s,I_L_mot_A
4.173e-08,0.000470377537300001
4.1739999999999995e-08,0.0004622272344800052
4.175e-08,0.0004540544353599998
4.176e-08,0.00044585952560000097
4.1769999999999996e-08,0.0004376428927600052
4.1779999999999994e-08,0.0004294049239400052
4.179e-08,0.0004211460094799998
4.18e-08,0.00041286653804000097
4.1809999999999995e-08,0.0004045669010600053
4.182e-08,0.0003962474910999998
4.183e-08,0.00038790870004000097
4.1839999999999996e-08,0.0003795509228800053
4.1849999999999994e-08,0.00037117455440000534
4.186e-08,0.0003627799892599998
4.187e-08,0.000354367624680001
4.1879999999999995e-08,0.0003459378586600054
4.189e-08,0.0003374910889799998
4.19e-08,0.000329027713740001
4.1909999999999996e-08,0.0003205481345000054
4.1919999999999994e-08,0.0003120527514800054
4.193e-08,0.0003035419656799998
4.194e-08,0.000295016178980001
4.1949999999999995e-08,0.00028647579572000547
4.196e-08,0.0002779212185599998
4.197e-08,0.000269352852280001
4.1979999999999996e-08,0.0002607711013200055
4.1989999999999994e-08,0.00025217637168000546
4.2e-08,0.0002435690695799998
4.201e-08,0.00023494960202000105
4.2019999999999995e-08,0.0002263183762200055
4.203e-08,0.00021767580039999977
4.204e-08,0.00020902228356000103
4.2049999999999996e-08,0.00020035823492000552
4.206e-08,0.00019168406403999977
4.207e-08,0.00018300018001999975
4.208e-08,0.00017430699520000104
4.2089999999999995e-08,0.00016560491980000552
4.21e-08,0.00015689436503999975
4.211e-08,0.00014817574336000103
4.2119999999999996e-08,0.00013944946788000553
4.213e-08,0.00013071594969999976
4.214e-08,0.00012197560337999976
4.215e-08,0.00011322884192000104
4.2159999999999995e-08,0.00010447607858400556
4.217e-08,9.571772774799977e-05
4.218e-08,8.695420421400104e-05
4.2189999999999996e-08,7.818592228000558e-05
4.22e-08,6.941329690199977e-05
4.221e-08,6.0636743033999766e-05
4.222e-08,5.185667613200104e-05
4.2229999999999995e-08,4.307351156200558e-05
4.224e-08,3.428766496799977e-05
4.225e-08,2.549955219400105e-05
4.2259999999999996e-08,1.6709589198205588e-05
4.227e-08,7.918191876399768e-06
4.228e-08,-8.742235824002333e-07
4.229e-08,-9.667241028198953e-06
4.2299999999999995e-08,-1.8460444255994415e-05
4.231e-08,-2.7253416934000232e-05
4.232e-08,-3.604574292599895e-05
4.2329999999999996e-08,-4.4837005953994416e-05
4.234e-08,-5.362678981800023e-05
4.235e-08,-6.241467834000024e-05
4.236e-08,-7.120025546399896e-05
4.2369999999999995e-08,-7.998310524599442e-05
4.238e-08,-8.876281167400023e-05
4.239e-08,-9.753895917999896e-05
4.2399999999999996e-08,-0.00010631113217999443
4.241e-08,-0.00011507891432000023
4.242e-08,-0.00012384189194000023
4.243e-08,-0.00013259964925999896
4.2439999999999995e-08,-0.00014135177149999446
4.245e-08,-0.00015009784444000023
4.246e-08,-0.00015883745329999896
4.2469999999999996e-08,-0.00016757018407999446
4.248e-08,-0.00017629562300000023
4.249e-08,-0.00018501335728000025
4.25e-08,-0.00019372297425999897
4.2509999999999995e-08,-0.00020242405981999448
4.252e-08,-0.00021111620274000023
4.253e-08,-0.00021979899123999896
4.2539999999999996e-08,-0.0002284720140999945
4.255e-08,-0.00023713485976000024
